"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08"
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-23","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-24","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-25","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-26","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-27","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-28","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-29","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-30","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-31","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-11-01","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-11-02","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-11-03","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-11-04","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-11-05","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-11-06","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-11-07","0.00",,,,,,,
